label,path,split
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador07-3.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador07-1.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador07-4.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador11-3.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador11-1.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador11-4.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador04-3.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador04-1.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador04-4.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador02-3.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador02-1.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador02-4.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador10-3.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador10-1.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador10-4.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador08-3.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador08-1.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador08-4.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador12-3.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador12-1.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador12-4.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador06-3.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador06-1.pt,train
Amarelo,../MINDS_tensors_32/Amarelo/03AmareloSinalizador06-4.pt,train
